feature,raw_token,thresholds_evaluable,threshold_median_log2_odds_ratio,threshold_sign_consistency,threshold_p_lt_0_05_rate,threshold_fdr_lt_0_10_rate,threshold_majority_direction
rawtok_PHOSPHATIDYLINOSITOL_3_KINASE_C2_DOMAIN_CONTAINING_SUBUNIT_GAMMA,PHOSPHATIDYLINOSITOL 3-KINASE C2 DOMAIN-CONTAINING SUBUNIT GAMMA,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_PHOSPHATIDYLINOSITOL_5_PHOSPHATE_4_KINASE_TYPE_2_GAMMA,PHOSPHATIDYLINOSITOL 5-PHOSPHATE 4-KINASE TYPE-2 GAMMA,2,-0.19566345045647207,1.0,0.0,0.0,enriched_in_worsen
rawtok_PROTEIN_DELTA_HOMOLOG_1,PROTEIN DELTA HOMOLOG 1,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP11,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP11,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP15,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP15,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP8,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP8,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_PROTO_ONCOGENE_TYROSINE_PROTEIN_KINASE_ROS,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE ROS,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_RAC_ALPHA_SERINE_THREONINE_PROTEIN_KINASE,RAC-ALPHA SERINE/THREONINE-PROTEIN KINASE,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_RECEPTOR_INTERACTING_SERINE_THREONINE_PROTEIN_KINASE_1,RECEPTOR-INTERACTING SERINE/THREONINE-PROTEIN KINASE 1,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_RECEPTOR_INTERACTING_SERINE_THREONINE_PROTEIN_KINASE_4,RECEPTOR-INTERACTING SERINE/THREONINE-PROTEIN KINASE 4,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_RIBOSYLDIHYDRONICOTINAMIDE_DEHYDROGENASE_QUINONE,RIBOSYLDIHYDRONICOTINAMIDE DEHYDROGENASE [QUINONE],1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_17B,SERINE/THREONINE-PROTEIN KINASE 17B,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_35,SERINE/THREONINE-PROTEIN KINASE 35,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_ATR,SERINE/THREONINE-PROTEIN KINASE ATR,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_BRSK1,SERINE/THREONINE-PROTEIN KINASE BRSK1,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_D1,SERINE/THREONINE-PROTEIN KINASE D1,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_ICK,SERINE/THREONINE-PROTEIN KINASE ICK,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_N1,SERINE/THREONINE-PROTEIN KINASE N1,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_RIO1,SERINE/THREONINE-PROTEIN KINASE RIO1,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_RIO3,SERINE/THREONINE-PROTEIN KINASE RIO3,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_SIK3,SERINE/THREONINE-PROTEIN KINASE SIK3,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_TNNI3K,SERINE/THREONINE-PROTEIN KINASE TNNI3K,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_ULK1,SERINE/THREONINE-PROTEIN KINASE ULK1,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_ULK2,SERINE/THREONINE-PROTEIN KINASE ULK2,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_SRSF_PROTEIN_KINASE_1,SRSF PROTEIN KINASE 1,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_SRSF_PROTEIN_KINASE_3,SRSF PROTEIN KINASE 3,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_STEROID_HORMONE_RECEPTOR_ERR1,STEROID HORMONE RECEPTOR ERR1,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_TYROSINE_PROTEIN_KINASE_ITK_TSK,TYROSINE-PROTEIN KINASE ITK/TSK,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_TYROSINE_PROTEIN_KINASE_RECEPTOR_RET_INHIBITOR,TYROSINE-PROTEIN KINASE RECEPTOR RET INHIBITOR,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_TYROSINE_PROTEIN_KINASE_SYK,TYROSINE-PROTEIN KINASE SYK,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_TYROSINE_PROTEIN_KINASE_TEC,TYROSINE-PROTEIN KINASE TEC,1,-0.06012099243757091,1.0,0.0,0.0,enriched_in_worsen
rawtok_EPIDERMAL_GROWTH_FACTOR_RECEPTOR,EPIDERMAL GROWTH FACTOR RECEPTOR,3,-0.020833503417165656,0.6666666666666666,0.0,0.0,enriched_in_worsen
rawtok_TYROSINE_PROTEIN_KINASE_FYN,TYROSINE-PROTEIN KINASE FYN,3,-0.49687117109629936,0.6666666666666666,0.0,0.0,enriched_in_worsen
rawtok_CYTOCHROME_P450_3A4,CYTOCHROME P450 3A4,3,-0.06558834162757671,0.6666666666666666,0.0,0.0,enriched_in_worsen
rawtok_DNA_REPLICATION,DNA REPLICATION,3,-0.06273575534796258,0.6666666666666666,0.0,0.0,enriched_in_worsen
rawtok_BCL2,BCL2,3,-0.06012099243757091,0.6666666666666666,0.0,0.0,enriched_in_worsen
rawtok_KAPPA_TYPE_OPIOID_RECEPTOR,KAPPA-TYPE OPIOID RECEPTOR,3,-0.06012099243757091,0.6666666666666666,0.0,0.0,enriched_in_worsen
rawtok_SUBSTANCE_K_RECEPTOR,SUBSTANCE-K RECEPTOR,3,-0.06012099243757091,0.6666666666666666,0.0,0.0,enriched_in_worsen
rawtok_MISSHAPEN_LIKE_KINASE_1,MISSHAPEN-LIKE KINASE 1,2,-0.06602119261082481,0.5,0.0,0.0,enriched_in_worsen
rawtok_SERINE_THREONINE_PROTEIN_KINASE_16,SERINE/THREONINE-PROTEIN KINASE 16,2,-0.06602119261082481,0.5,0.0,0.0,enriched_in_worsen
rawtok_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_2,VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR 2,2,-0.10812217384099362,0.5,0.0,0.0,enriched_in_worsen
rawtok_PROTO_ONCOGENE_TYROSINE_PROTEIN_KINASE_RECEPTOR_RET,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE RECEPTOR RET,2,-0.04244444879325643,0.5,0.0,0.0,enriched_in_worsen
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_KINASE_5,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 5,2,0.07270602763441657,0.5,0.0,0.0,enriched_in_improve
rawtok_ACTIVATED_CDC42_KINASE_1,ACTIVATED CDC42 KINASE 1,2,0.2080600986482774,0.5,0.0,0.0,enriched_in_improve
rawtok_AURORA_KINASE_B,AURORA KINASE B,2,0.2080600986482774,0.5,0.0,0.0,enriched_in_improve
rawtok_MACROPHAGE_COLONY_STIMULATING_FACTOR_1_RECEPTOR,MACROPHAGE COLONY-STIMULATING FACTOR 1 RECEPTOR,2,0.2080600986482774,0.5,0.0,0.0,enriched_in_improve
rawtok_MAST_STEM_CELL_GROWTH_FACTOR_RECEPTOR_KIT,MAST/STEM CELL GROWTH FACTOR RECEPTOR KIT,2,0.2080600986482774,0.5,0.0,0.0,enriched_in_improve
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_9,MITOGEN-ACTIVATED PROTEIN KINASE 9,2,0.07426823186263531,0.5,0.0,0.0,enriched_in_improve
rawtok_TRAF2_AND_NCK_INTERACTING_PROTEIN_KINASE,TRAF2 AND NCK-INTERACTING PROTEIN KINASE,2,0.2080600986482774,0.5,0.0,0.0,enriched_in_improve
rawtok_TYROSINE_PROTEIN_KINASE_FGR,TYROSINE-PROTEIN KINASE FGR,2,0.2080600986482774,0.5,0.0,0.0,enriched_in_improve
rawtok_BMP_2_INDUCIBLE_PROTEIN_KINASE,BMP-2-INDUCIBLE PROTEIN KINASE,2,0.07711045934743421,0.5,0.0,0.0,enriched_in_improve
rawtok_UNCHARACTERIZED_PROTEIN_FLJ45252,UNCHARACTERIZED PROTEIN FLJ45252,2,0.07711045934743421,0.5,0.0,0.0,enriched_in_improve
rawtok_DEATH_ASSOCIATED_PROTEIN_KINASE_3,DEATH-ASSOCIATED PROTEIN KINASE 3,2,0.20948639178808448,0.5,0.0,0.0,enriched_in_improve
rawtok_DNA_DEPENDENT_PROTEIN_KINASE_CATALYTIC_SUBUNIT,DNA-DEPENDENT PROTEIN KINASE CATALYTIC SUBUNIT,2,0.20948639178808448,0.5,0.0,0.0,enriched_in_improve
rawtok_DUAL_SPECIFICITY_PROTEIN_KINASE_CLK4,DUAL SPECIFICITY PROTEIN KINASE CLK4,2,0.20948639178808448,0.5,0.0,0.0,enriched_in_improve
rawtok_DUAL_SPECIFICITY_TYROSINE_PHOSPHORYLATION_REGULATED_KINASE_2,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE 2,2,1.0470665466344518,0.5,0.0,0.0,enriched_in_improve
rawtok_HIGH_AFFINITY_NERVE_GROWTH_FACTOR_RECEPTOR,HIGH AFFINITY NERVE GROWTH FACTOR RECEPTOR,2,0.20948639178808448,0.5,0.0,0.0,enriched_in_improve
rawtok_LIM_DOMAIN_KINASE_1,LIM DOMAIN KINASE 1,2,1.0470665466344518,0.5,0.0,0.0,enriched_in_improve
rawtok_MAP_KINASE_INTERACTING_SERINE_THREONINE_PROTEIN_KINASE_1,MAP KINASE-INTERACTING SERINE/THREONINE-PROTEIN KINASE 1,2,0.20948639178808448,0.5,0.0,0.0,enriched_in_improve
rawtok_MAP_KINASE_INTERACTING_SERINE_THREONINE_PROTEIN_KINASE_2,MAP KINASE-INTERACTING SERINE/THREONINE-PROTEIN KINASE 2,2,0.20948639178808448,0.5,0.0,0.0,enriched_in_improve
rawtok_NUCLEAR_RECEPTOR_SUBFAMILY_1_GROUP_I_MEMBER_2,NUCLEAR RECEPTOR SUBFAMILY 1 GROUP I MEMBER 2,2,0.20948639178808448,0.5,0.0,0.0,enriched_in_improve
rawtok_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_3_KINASE_CATALYTIC_SUBUNIT_DELTA_I,"PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE 3-KINASE CATALYTIC SUBUNIT DELTA ISOFORM",2,0.20948639178808448,0.5,0.0,0.0,enriched_in_improve
rawtok_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_3_KINASE_CATALYTIC_SUBUNIT_GAMMA_I,"PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE 3-KINASE CATALYTIC SUBUNIT GAMMA ISOFORM",2,0.20948639178808448,0.5,0.0,0.0,enriched_in_improve
rawtok_POLY_ADP_RIBOSE_POLYMERASE_TANKYRASE_2,POLY [ADP-RIBOSE] POLYMERASE TANKYRASE-2,2,1.0470665466344518,0.5,0.0,0.0,enriched_in_improve
rawtok_SERINE_THREONINE_PROTEIN_KINASE_MTOR,SERINE/THREONINE-PROTEIN KINASE MTOR,2,0.20948639178808448,0.5,0.0,0.0,enriched_in_improve
rawtok_TYROSINE_PROTEIN_KINASE_JAK3,TYROSINE-PROTEIN KINASE JAK3,2,0.20948639178808448,0.5,0.0,0.0,enriched_in_improve
rawtok_CELL_CYCLE,CELL CYCLE,2,0.2028798428454165,0.5,0.0,0.0,enriched_in_improve
